name,value
Aerospace Studies (AERO ST),3
Art,6
Art History (ART HIS),4
Bioengineering (BIOENGR),3
Chemistry and Biochemistry (CHEM),2
Chinese (CHIN),2
Civic Engagement (CIVIC),5
Civil and Environmental Engineering (C&EE),3
Computer Science (COM SCI),3
Conservation of Archaeological and Ethnographic Materials (CAEM),5
Disability Studies (DIS STD),4
"Earth, Planetary, and Space Sciences (EPS SCI)",2
Education (EDUC),6
Electrical Engineering (EL ENGR),3
Engineering (ENGR),3
Environmental Health Sciences (ENV HLT),3
History (HIST),3
Hungarian (HNGAR),3
Indo-European Studies (I E STD),2
International Development Studies (INTL DV),5
Iranian,2
Islamic Studies (ISLM ST),2
Italian,2
Jewish Studies (JEWISH),2
Korean (KOREA),3
Latin American Studies (LATN AM),5
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies (LGBTQS)",3
Life Sciences (LIFESCI),2
Mathematics (MATH),2
Middle Eastern Studies (M E STD),2
Music History (MSC HST),4
Neurobiology (NEURBIO),1
Neuroscience (Graduate) (NEURO),3
Nursing,5
Parties, 0
Philosophy (PHILOS),3
Physics and Biology in Medicine (PBMED),3
Physiological Science (PHYSCI),3
Polish (POLSH),2
Political Science (POL SCI),3
Psychology (PSYCH),2
Public Policy (PUB PLC),4
Scandinavian (SCAND),2
Sociology (SOCIOL),3
Southeast Asian (SEASIAN),5
Statistics (STATS),2
Turkic Languages (TURKIC),4
University Studies (UNIV ST),3
Vietnamese (VIETMSE),2
